Keyword,Volume,KD,CPC,Opportunity Score,Difficulty,Intent,Primary Category,Cities,Long-Tail,Live Market,Tier,Word Count,Content Tier,Relevant,Relevance Note,Data Source
apartments atlanta under 2000,0,0,0.0,0.0,Very Easy,Commercial,Address / Navigational,Atlanta,Yes,Yes,T2,4,Long Tail,No,No article intent,Generated (AEO)
apartments for commuters atlanta,0,0,0.0,0.0,Very Easy,Commercial,City + Apartments,Atlanta,Yes,Yes,T2,4,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments for graduate students atlanta,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments for pet owners atlanta,0,0,0.0,0.0,Very Easy,Commercial,Pet Friendly,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments for remote workers atlanta,0,0,0.0,0.0,Very Easy,Commercial,City + Apartments,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments for travel nurses atlanta,0,0,0.0,0.0,Very Easy,Commercial,City + Apartments,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments for young professionals atlanta,0,0,0.0,0.0,Very Easy,Commercial,City + Apartments,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments in embry hills,0,0,0.0,0.0,Very Easy,Navigational,Competitor (Embry Hills comps),Atlanta,Yes,Yes,T2,4,Gap,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments in northeast atlanta,0,0,0.0,0.0,Very Easy,Commercial,City + Apartments,Atlanta,Yes,Yes,T2,4,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments near cdc,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,No,Yes,T2,3,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments near i-85,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,No,Yes,T2,3,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments near mercedes-benz usa,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,4,Long Tail,No,No local relevance,Generated (AEO)
apartments that allow large dogs atlanta,0,0,0.0,0.0,Very Easy,Commercial,Pet Friendly,Atlanta,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with business center atlanta,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with business center chamblee,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with business center doraville,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with clubhouse atlanta,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Atlanta,Yes,Yes,T2,4,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with clubhouse chamblee,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Atlanta,Yes,Yes,T2,4,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with clubhouse doraville,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Atlanta,Yes,Yes,T2,4,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with gated community atlanta,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with gated community chamblee,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with gated community doraville,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with hardwood floors atlanta,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with hardwood floors chamblee,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with hardwood floors doraville,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with move in specials atlanta,0,0,0.0,0.0,Very Easy,Commercial,Price / Budget,Atlanta,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with resort style pool atlanta,0,0,0.0,0.0,Very Easy,Commercial,Luxury,Atlanta,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with resort style pool chamblee,0,0,0.0,0.0,Very Easy,Commercial,Luxury,Atlanta,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with resort style pool doraville,0,0,0.0,0.0,Very Easy,Commercial,Luxury,Atlanta,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with same day approval atlanta,0,0,0.0,0.0,Very Easy,Commercial,City + Apartments,Atlanta,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with vaulted ceilings atlanta,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with vaulted ceilings chamblee,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments with vaulted ceilings doraville,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments within walking distance of buford highway,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,7,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments within walking distance of cdc,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments within walking distance of doraville marta station,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,8,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments within walking distance of emory university,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,7,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments within walking distance of i-85,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
apartments within walking distance of mercedes-benz usa,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,7,Long Tail,No,No local relevance,Generated (AEO)
atlanta apartments with business center,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
atlanta apartments with clubhouse,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Atlanta,Yes,Yes,T2,4,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
atlanta apartments with gated community,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
atlanta apartments with hardwood floors,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
atlanta apartments with resort style pool,0,0,0.0,0.0,Very Easy,Commercial,Luxury,Atlanta,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
atlanta apartments with vaulted ceilings,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
atlanta rent prices by neighborhood,0,0,0.0,0.0,Very Easy,Commercial,General / Other,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
average rent chamblee,0,0,0.0,0.0,Very Easy,Commercial,Price / Budget,Atlanta,No,Yes,T2,3,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
average rent doraville,0,0,0.0,0.0,Very Easy,Commercial,Price / Budget,Atlanta,No,Yes,T2,3,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
average rent embry hills,0,0,0.0,0.0,Very Easy,Navigational,Competitor (Embry Hills comps),Atlanta,Yes,Yes,T2,4,Gap,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
average rent northeast atlanta,0,0,0.0,0.0,Very Easy,Commercial,Price / Budget,Atlanta,Yes,Yes,T2,4,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
best apartments in atlanta for commuters,0,0,0.0,0.0,Very Easy,Commercial,Luxury,Atlanta,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
best apartments in atlanta for graduate students,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Atlanta,Yes,Yes,T2,7,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
best apartments in atlanta for pet owners,0,0,0.0,0.0,Very Easy,Commercial,Luxury,Atlanta,Yes,Yes,T2,7,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
best apartments in atlanta for remote workers,0,0,0.0,0.0,Very Easy,Commercial,Luxury,Atlanta,Yes,Yes,T2,7,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
best apartments in atlanta for travel nurses,0,0,0.0,0.0,Very Easy,Commercial,Luxury,Atlanta,Yes,Yes,T2,7,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
best apartments in atlanta for young professionals,0,0,0.0,0.0,Very Easy,Commercial,Luxury,Atlanta,Yes,Yes,T2,7,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
best apartments near buford highway,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
best apartments near cdc,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,4,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
best apartments near doraville marta station,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
best apartments near emory university,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
best apartments near i-85,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,4,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
best apartments near mercedes-benz usa,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,5,Long Tail,No,No local relevance,Generated (AEO)
best time of year to rent in atlanta,0,0,0.0,0.0,Very Easy,Commercial,General / Other,Atlanta,Yes,Yes,T2,8,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
bexley chamblee pricing,0,0,0.0,0.0,Very Easy,Navigational,Competitor (Bexley Chamblee),Atlanta,No,Yes,T2,3,Gap,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
bexley chamblee reviews,0,0,0.0,0.0,Very Easy,Navigational,Competitor (Bexley Chamblee),Atlanta,No,Yes,T2,3,Gap,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
bexley chamblee vs nearby apartments,0,0,0.0,0.0,Very Easy,Navigational,Competitor (Bexley Chamblee),Atlanta,Yes,Yes,T2,5,Gap,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
chamblee apartments for rent,0,0,0.0,0.0,Very Easy,Commercial,City + Apartments,Atlanta,Yes,Yes,T2,4,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
chamblee heights pricing,0,0,0.0,0.0,Very Easy,Navigational,Competitor (Chamblee Heights),Atlanta,No,Yes,T2,3,Gap,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
chamblee heights reviews,0,0,0.0,0.0,Very Easy,Navigational,Competitor (Chamblee Heights),Atlanta,No,Yes,T2,3,Gap,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
chamblee heights vs nearby apartments,0,0,0.0,0.0,Very Easy,Navigational,Competitor (Chamblee Heights),Atlanta,Yes,Yes,T2,5,Gap,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
cheap apartments chamblee,0,0,0.0,0.0,Very Easy,Commercial,Price / Budget,Atlanta,No,Yes,T2,3,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
cheap apartments doraville,0,0,0.0,0.0,Very Easy,Commercial,Price / Budget,Atlanta,No,Yes,T2,3,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
cheap apartments embry hills,0,0,0.0,0.0,Very Easy,Navigational,Competitor (Embry Hills comps),Atlanta,Yes,Yes,T2,4,Gap,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
cheap apartments near buford highway,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
cheap apartments near cdc,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,4,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
cheap apartments near doraville marta station,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
cheap apartments near emory university,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
cheap apartments near i-85,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,4,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
cheap apartments near mercedes-benz usa,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,5,Long Tail,No,No local relevance,Generated (AEO)
cheap apartments northeast atlanta,0,0,0.0,0.0,Very Easy,Commercial,Price / Budget,Atlanta,Yes,Yes,T2,4,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
commute from chamblee to buford highway,0,0,0.0,0.0,Very Easy,Commercial,General / Other,Atlanta,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
commute from chamblee to cdc,0,0,0.0,0.0,Very Easy,Commercial,General / Other,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
commute from chamblee to doraville marta station,0,0,0.0,0.0,Very Easy,Commercial,General / Other,Atlanta,Yes,Yes,T2,7,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
commute from chamblee to emory university,0,0,0.0,0.0,Very Easy,Commercial,General / Other,Atlanta,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
commute from chamblee to i-85,0,0,0.0,0.0,Very Easy,Commercial,General / Other,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
commute from chamblee to mercedes-benz usa,0,0,0.0,0.0,Very Easy,Commercial,General / Other,Atlanta,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
corporate housing atlanta,0,0,0.0,0.0,Very Easy,Commercial,General / Other,Atlanta,No,Yes,T2,3,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
does verdant peachtree creek have a pool,0,0,0.0,0.0,Very Easy,Navigational,Branded,Atlanta,Yes,Yes,T2,7,Quick Win,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
doraville apartments for rent,0,0,0.0,0.0,Very Easy,Commercial,City + Apartments,Atlanta,Yes,Yes,T2,4,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
embry hills apartments for rent,0,0,0.0,0.0,Very Easy,Navigational,Competitor (Embry Hills comps),Atlanta,Yes,Yes,T2,5,Gap,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
first time renter guide atlanta,0,0,0.0,0.0,Very Easy,Informational,Renter Education,Atlanta,Yes,Yes,T2,5,Informational,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
guest parking rules apartments atlanta,0,0,0.0,0.0,Very Easy,Commercial,Amenity,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
hidden fees when renting an apartment,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Atlanta,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
how far is buford highway from chamblee,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,7,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
how far is cdc from chamblee,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
how far is doraville marta station from chamblee,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,8,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
how far is emory university from chamblee,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,7,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
how far is i-85 from chamblee,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
how far is mercedes-benz usa from chamblee,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,7,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
how much does it cost to break a lease,0,0,0.0,0.0,Very Easy,Commercial,General / Other,Atlanta,Yes,Yes,T2,9,Long Tail,No,No local relevance,Generated (AEO)
how much is rent at verdant peachtree creek,0,0,0.0,0.0,Very Easy,Navigational,Branded,Atlanta,Yes,Yes,T2,8,Quick Win,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
how to tour apartments in atlanta,0,0,0.0,0.0,Very Easy,Informational,Renter Education,Atlanta,Yes,Yes,T2,6,Informational,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
income requirements apartment atlanta,0,0,0.0,0.0,Very Easy,Commercial,Price / Budget,Atlanta,Yes,Yes,T2,4,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
is chamblee a good place to live,0,0,0.0,0.0,Very Easy,Informational,Renter Education,Atlanta,Yes,Yes,T2,7,Informational,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
is chamblee safe,0,0,0.0,0.0,Very Easy,Informational,Renter Education,Atlanta,No,Yes,T2,3,Informational,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
is doraville a good place to live,0,0,0.0,0.0,Very Easy,Informational,Renter Education,Atlanta,Yes,Yes,T2,7,Informational,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
is doraville safe,0,0,0.0,0.0,Very Easy,Informational,Renter Education,Atlanta,No,Yes,T2,3,Informational,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
is embry hills a good place to live,0,0,0.0,0.0,Very Easy,Navigational,Competitor (Embry Hills comps),Atlanta,Yes,Yes,T2,8,Gap,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
is embry hills safe,0,0,0.0,0.0,Very Easy,Navigational,Competitor (Embry Hills comps),Atlanta,Yes,Yes,T2,4,Gap,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
is northeast atlanta a good place to live,0,0,0.0,0.0,Very Easy,Informational,Renter Education,Atlanta,Yes,Yes,T2,8,Informational,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
is northeast atlanta safe,0,0,0.0,0.0,Very Easy,Informational,Renter Education,Atlanta,Yes,Yes,T2,4,Informational,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
is verdant peachtree creek pet friendly,0,0,0.0,0.0,Very Easy,Navigational,Branded,Atlanta,Yes,Yes,T2,6,Quick Win,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
lease renewal negotiation tips,0,0,0.0,0.0,Very Easy,Commercial,General / Other,Atlanta,Yes,Yes,T2,4,Long Tail,No,No local relevance,Generated (AEO)
living in chamblee,0,0,0.0,0.0,Very Easy,Informational,Renter Education,Atlanta,No,Yes,T2,3,Informational,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
living in doraville,0,0,0.0,0.0,Very Easy,Informational,Renter Education,Atlanta,No,Yes,T2,3,Informational,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
living in embry hills,0,0,0.0,0.0,Very Easy,Navigational,Competitor (Embry Hills comps),Atlanta,Yes,Yes,T2,4,Gap,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
living in northeast atlanta,0,0,0.0,0.0,Very Easy,Informational,Renter Education,Atlanta,Yes,Yes,T2,4,Informational,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
luxury apartments doraville,0,0,0.0,0.0,Very Easy,Commercial,Luxury,Atlanta,No,Yes,T2,3,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
luxury apartments embry hills,0,0,0.0,0.0,Very Easy,Navigational,Competitor (Embry Hills comps),Atlanta,Yes,Yes,T2,4,Gap,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
luxury apartments near buford highway,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
luxury apartments near cdc,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,4,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
luxury apartments near doraville marta station,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,6,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
luxury apartments near emory university,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
luxury apartments near i-85,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,4,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
luxury apartments near mercedes-benz usa,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,5,Long Tail,No,No local relevance,Generated (AEO)
luxury apartments northeast atlanta,0,0,0.0,0.0,Very Easy,Commercial,Luxury,Atlanta,Yes,Yes,T2,4,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
manor chamblee pricing,0,0,0.0,0.0,Very Easy,Navigational,Competitor (Manor Chamblee),Atlanta,No,Yes,T2,3,Gap,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
manor chamblee reviews,0,0,0.0,0.0,Very Easy,Navigational,Competitor (Manor Chamblee),Atlanta,No,Yes,T2,3,Gap,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
manor chamblee vs nearby apartments,0,0,0.0,0.0,Very Easy,Navigational,Competitor (Manor Chamblee),Atlanta,Yes,Yes,T2,5,Gap,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
month to month apartments atlanta,0,0,0.0,0.0,Very Easy,Commercial,City + Apartments,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
new 1 bedroom apartments atlanta,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
new 2 bedroom apartments atlanta,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
new 3 bedroom apartments atlanta,0,0,0.0,0.0,Very Easy,Commercial,Bedroom Type,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
new apartments chamblee,0,0,0.0,0.0,Very Easy,Commercial,Property / Renter Type,Atlanta,No,Yes,T2,3,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
new apartments doraville,0,0,0.0,0.0,Very Easy,Commercial,Property / Renter Type,Atlanta,No,Yes,T2,3,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
new apartments embry hills,0,0,0.0,0.0,Very Easy,Navigational,Competitor (Embry Hills comps),Atlanta,Yes,Yes,T2,4,Gap,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
new apartments near buford highway,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,5,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
new apartments near cdc,0,0,0.0,0.0,Very Easy,Transactional,Near Landmark,Atlanta,Yes,Yes,T2,4,Long Tail,Yes,Intent-generated long-tail (unverified volume - AEO target),Generated (AEO)
